interval,startTime,endTime,route1,route2,length,width,maxPosAcc,maxNegAcc,usualPosAcc,usualNegAcc,minGap,maxSpeed,headwayTime
5,157,157,road_0_1_0,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,157,157,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,161,161,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,161,161,road_1_0_1,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,162,162,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,163,163,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,165,165,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,165,165,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,165,165,road_1_0_1,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,167,167,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,170,170,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,171,171,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,173,173,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,173,173,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,175,175,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,177,177,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,177,177,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,181,181,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,184,184,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,209,209,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,213,213,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,215,215,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,220,220,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,222,222,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,222,222,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,223,223,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,225,225,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,226,226,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,226,226,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,228,228,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,228,228,road_2_1_2,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,229,229,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,229,229,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,230,230,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,230,230,road_0_1_0,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,231,231,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,232,232,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,232,232,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,234,234,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,235,235,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,237,237,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,237,237,road_1_0_1,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,237,237,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,237,237,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,238,238,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,239,239,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,241,241,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,246,246,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,248,248,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,262,262,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,262,262,road_1_0_1,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,266,266,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,271,271,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,271,271,road_2_1_2,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,280,280,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,280,280,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,284,284,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,285,285,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,285,285,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,289,289,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,291,291,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,292,292,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,292,292,road_0_1_0,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,295,295,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,295,295,road_1_0_1,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,295,295,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,297,297,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,298,298,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,298,298,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,304,304,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,305,305,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,305,305,road_0_1_0,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,307,307,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,308,308,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,309,309,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,315,315,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,315,315,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,317,317,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,323,323,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,328,328,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,338,338,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,338,338,road_1_0_1,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,340,340,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,340,340,road_1_0_1,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,341,341,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,341,341,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,343,343,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,346,346,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,358,358,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,365,365,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,370,370,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,373,373,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,382,382,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,384,384,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,386,386,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,391,391,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,395,395,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,396,396,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,397,397,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,398,398,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,399,399,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,399,399,road_1_0_1,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,400,400,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,400,400,road_0_1_0,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,408,408,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,410,410,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,413,413,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,415,415,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,418,418,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,420,420,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,421,421,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,430,430,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,435,435,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,435,435,road_1_2_3,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,437,437,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,438,438,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,438,438,road_1_2_3,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,441,441,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,444,444,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,444,444,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,446,446,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,448,448,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,449,449,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,452,452,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,453,453,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,453,453,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,460,460,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,463,463,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,463,463,road_1_0_1,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,464,464,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,472,472,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,473,473,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,474,474,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,474,474,road_1_2_3,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,475,475,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,476,476,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,477,477,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,479,479,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,481,481,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,484,484,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,484,484,road_1_2_3,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,485,485,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,485,485,road_1_0_1,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,486,486,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,486,486,road_1_0_1,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,492,492,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,492,492,road_1_0_1,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,493,493,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,495,495,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,497,497,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,498,498,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,499,499,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,499,499,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,501,501,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,503,503,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,504,504,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,507,507,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,507,507,road_1_0_1,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,508,508,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,516,516,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,537,537,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,538,538,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,540,540,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,541,541,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,542,542,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,542,542,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,543,543,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,545,545,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,546,546,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,546,546,road_0_1_0,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,547,547,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,548,548,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,552,552,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,555,555,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,555,555,road_0_1_0,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,556,556,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,557,557,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,559,559,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,560,560,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,562,562,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,564,564,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,564,564,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,564,564,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,566,566,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,566,566,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,567,567,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,568,568,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,569,569,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,570,570,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,572,572,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,573,573,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,573,573,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,574,574,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,575,575,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,575,575,road_1_0_1,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,578,578,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,580,580,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,580,580,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,580,580,road_2_1_2,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,587,587,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,587,587,road_1_0_1,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,590,590,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,594,594,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,596,596,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,596,596,road_2_1_2,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,597,597,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,597,597,road_1_0_1,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,602,602,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,603,603,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,604,604,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,611,611,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,615,615,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,616,616,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,616,616,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,616,616,road_1_0_1,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,618,618,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,622,622,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,624,624,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,625,625,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,627,627,road_2_1_2,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,629,629,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,629,629,road_1_0_1,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,630,630,road_0_1_0,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
5,643,643,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,643,643,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,647,647,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,647,647,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,648,648,road_1_0_1,road_1_1_1,5,2,2,4.5,2,4.5,2.5,11.11,2
5,648,648,road_1_0_1,road_1_1_2,5,2,2,4.5,2,4.5,2.5,11.11,2
5,659,659,road_1_2_3,road_1_1_3,5,2,2,4.5,2,4.5,2.5,11.11,2
5,659,659,road_1_2_3,road_1_1_0,5,2,2,4.5,2,4.5,2.5,11.11,2
